Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)
AGAP004758	0	3070600	3072473
AGAP004759	0	3075360	3076075
AGAP004760	0	3080655	3081906
AGAP004761	0	3127125	3131071
AGAP004762	0	3150315	3152338
AGAP004763	0	3152721	3153806
AGAP004764	0	3154590	3156095
AGAP004765	0	3156536	3158788
AGAP004766	0	3163010	3175520
AGAP004767	0	3194035	3196599
AGAP004768	0	3288076	3322501
AGAP004769	0	3297616	3317823
AGAP004770	0	3312046	3312961
AGAP004771	0	3328939	3340228
AGAP004772	0	3348417	3353159
AGAP004773	0	3360197	3361330
AGAP004774	0	3389141	3399248
AGAP004775	0	3401014	3447379
AGAP004776	0	3402582	3404685
AGAP004777	0	3405024	3407138
AGAP004778	0	3445900	3447091
AGAP004780	0	3453793	3460414
AGAP004781	0	3464650	3465836
AGAP004782	0	3469348	3473011
AGAP004783	0	3490307	3535246
AGAP004784	0	3519838	3522515
AGAP004785	0	3542108	3544112
AGAP004786	0	3545835	3548422
AGAP004787	0	3552528	3554809
AGAP004788	0	3573654	3574167
AGAP004789	0	3574266	3575387
AGAP004790	0	3576595	3577108
AGAP004791	0	3577207	3578328
AGAP004792	0	3579851	3583746
AGAP004793	0	3585262	3590507
AGAP004794	0	3596961	3598493
AGAP004795	0	3614688	3630472
AGAP004797	0	3635715	3637329
AGAP004798	0	3638641	3645721
AGAP004799	0	3720848	3721878
AGAP004800	0	3729952	3733779
AGAP004801	0	3733801	3744679
AGAP004802	0	3745921	3747552
AGAP004803	0	3747710	3749568
AGAP004804	0	3749873	3750905
AGAP004805	0	3758094	3778548
AGAP004806	0	3779245	3780367
AGAP004807	0	3780412	3781204
AGAP004808	0	3790242	3793167
AGAP004809	0	3793554	3797323
AGAP004810	0	3798556	3799428
AGAP004811	0	3800428	3801534
AGAP004812	0	3803320	3807311
AGAP004813	0	3818251	3818511
AGAP004814	0	3825668	3826851
AGAP004815	0	3831551	3831951
AGAP004816	0	3839485	3840411
AGAP004817	0	3843984	3852663
AGAP004818	0	3858864	3859471
AGAP004819	0	3860781	3870396
AGAP004820	0	3870994	3872609
AGAP004823	0	3915261	3917699
AGAP004824	0	3953334	3982092
AGAP004825	0	3992274	3996433
AGAP004826	0	4066369	4068651
AGAP004827	0	4120678	4142005
AGAP004828	0	4153261	4156465
AGAP004829	0	4159876	4171227
AGAP004830	0	4183099	4185754
AGAP004831	0	4201432	4202564
AGAP004832	0	4214235	4217585
AGAP004833	0	4233342	4239866
AGAP004834	0	4243691	4252291
AGAP004835	0	4302587	4323649
AGAP004836	0	4350302	4350475
AGAP004837	0	4352840	4362047
AGAP004838	0	4368929	4369798
AGAP004839	0	4376928	4377479
AGAP004840	0	4377409	4378620
AGAP004841	0	4382188	4388241
AGAP004842	0	4387828	4392314
AGAP004843	0	4388847	4391016
AGAP004844	0	4393035	4394190
AGAP004845	0	4396212	4402689
AGAP004846	0	4404139	4428751
AGAP004848	0	4438474	4440964
AGAP004849	0	4441878	4443314
AGAP004850	0	4448317	4459825
AGAP004851	0	4463256	4464575
AGAP004852	0	4467956	4475550
AGAP004853	0	4476401	4479536
AGAP004854	0	4483668	4490466
AGAP004855	0	4492189	4494085
AGAP004856	0	4495104	4496644
AGAP004857	0	4496933	4498359
AGAP004858	0	4498818	4500749
AGAP004859	0	4501583	4503073
AGAP004860	0	4506869	4510053
AGAP004861	0	4512469	4531632
AGAP004862	0	4554530	4565883
AGAP004863	0	4568305	4578735
AGAP004864	0	4586760	4591451
AGAP004865	0	4599569	4620103
AGAP004866	0	4667808	4675971
AGAP004867	0	4676920	4678867
AGAP004868	0	4680081	4692071
AGAP004869	0	4684000	4684653
AGAP004870	0	4692754	4697498
AGAP004871	0	4749123	4756753
AGAP004872	0	4760912	4762132
AGAP004873	0	4769290	4800313
AGAP004874	0	4821176	4825510
AGAP004875	0	4830049	4830309
AGAP004876	0	4845959	4847193
AGAP004877	0	4851777	4866265
AGAP004878	0	4871110	4872374
AGAP004879	0	4879247	4880564
AGAP004880	0	4905326	4908734
AGAP004881	0	4925706	4932269
AGAP004882	0	4934985	4944994
AGAP004883	0	4939315	4940319
AGAP004884	0	4948909	4953343
AGAP004885	0	4953470	4954359
AGAP004886	0	4956109	4968464
AGAP004887	0	4970013	4971174
AGAP004888	0	4971871	4974593
AGAP004889	0	4974901	4977615
AGAP004890	0	4976558	4986660
AGAP004891	0	4987628	4988629
AGAP004892	0	5003264	5042389
AGAP004893	0	5018406	5019883
AGAP004894	0	5443491	5444376
AGAP004895	0	5489591	5498330
AGAP004896	0	5501708	5504831
AGAP004897	0	5551067	5551909
AGAP004899	0	5626946	5628862
AGAP004900	0	5634117	5649497
AGAP004901	0	5660789	5661736
AGAP004902	0	5719844	5759970
AGAP004903	0	5768982	5769889
AGAP004904	0	5771985	5780988
AGAP007008	0	40792494	40854969
AGAP004906	0	5793347	5794156
AGAP004907	0	5801332	5801760
AGAP004908	0	5802380	5809666
AGAP004909	0	5815577	5817275
AGAP004910	0	5818168	5819743
AGAP004911	0	5822235	5822840
AGAP004912	0	5826320	5831336
AGAP004913	0	5844430	5845398
AGAP004914	0	5862276	5863688
AGAP004915	0	5927216	5942472
AGAP004916	0	5996795	5997803
AGAP004917	0	6006268	6007230
AGAP004918	0	6008201	6009301
AGAP004919	0	6015229	6016503
AGAP013037	0	48982357	48985835
AGAP007680	0	48974549	48976680
AGAP013228	0	47267064	47270247
AGAP004922	0	6049763	6053107
AGAP004923	0	6087277	6104141
AGAP004928	0	6110285	6113837
AGAP004929	0	6114439	6115700
AGAP004930	0	6121201	6122720
AGAP004931	0	6130295	6131449
AGAP004932	0	6182802	6188676
AGAP004933	0	6194335	6195585
AGAP007378	0	46189118	46195042
AGAP004935	0	6204286	6206914
AGAP004936	0	6208301	6209223
AGAP004937	0	6213696	6218142
AGAP004938	0	6225383	6227729
AGAP004940	0	6244207	6262851
AGAP004941	0	6308473	6309441
AGAP004942	0	6377641	6425024
AGAP004943	0	6525703	6539076
AGAP004944	0	6544141	6546511
AGAP004945	0	6551568	6553909
AGAP004946	0	6555241	6559375
AGAP004947	0	6621301	6622113
AGAP004948	0	6693033	6694970
AGAP004949	0	6847181	6848978
AGAP004950	0	6923629	6993818
AGAP004951	0	7150386	7151754
AGAP004952	0	7172678	7174184
AGAP004953	0	7174132	7176492
AGAP004954	0	7177945	7180456
AGAP004955	0	7181937	7182959
AGAP004956	0	7183554	7186700
AGAP004957	0	7187117	7189946
AGAP004958	0	7190304	7194211
AGAP004959	0	7194587	7195863
AGAP004960	0	7195880	7197257
AGAP004961	0	7209866	7213320
AGAP004962	0	7214193	7216073
AGAP004963	0	7219499	7221382
AGAP004964	0	7275625	7276356
AGAP004965	0	7278148	7288812
AGAP004966	0	7289296	7292275
AGAP004967	0	7293792	7295641
AGAP004968	0	7298886	7300354
AGAP004969	0	7301876	7303528
AGAP004970	0	7322613	7338636
AGAP004971	0	7331917	7333303
AGAP004972	0	7365806	7367087
AGAP004973	0	7371728	7372996
AGAP004974	0	7438707	7440066
AGAP004975	0	7441521	7444137
AGAP013107	0	40170482	40171574
AGAP013291	0	46178968	46181791
AGAP004977	0	7452207	7454977
AGAP004978	0	7455500	7457965
AGAP004979	0	7467846	7468225
AGAP013488	0	33928793	33930004
AGAP004981	0	7503372	7505945
AGAP004982	0	7516057	7537302
AGAP004983	0	7537935	7541687
AGAP004984	0	7538800	7540020
AGAP004985	0	7540054	7540980
AGAP004986	0	7541759	7542559
AGAP004987	0	7545673	7546442
AGAP004988	0	7550405	7551445
AGAP004989	0	7555635	7581711
AGAP004990	0	7585796	7587650
AGAP004991	0	7587832	7588801
AGAP004992	0	7589632	7591130
AGAP004993	0	7592420	7608179
AGAP004994	0	7622152	7622776
AGAP004995	0	7670655	7673469
AGAP004996	0	7733493	7734921
AGAP004997	0	7737073	7738567
AGAP004998	0	7746797	7747757
AGAP004999	0	7748193	7749112
AGAP005000	0	7753288	7754369
AGAP005001	0	7755822	7763502
AGAP005002	0	7769154	7775159
AGAP005003	0	7788960	7792161
AGAP005004	0	7792331	7794417
AGAP005005	0	7794965	7806455
AGAP005006	0	7807839	7812066
AGAP005007	0	7816277	7818115
AGAP005008	0	7820730	7916840
AGAP005009	0	7897791	7899967
AGAP005010	0	7973481	8020949
AGAP005011	0	8078288	8136322
AGAP005012	0	8286672	8288868
AGAP005013	0	8292536	8294703
AGAP005014	0	8297037	8299619
AGAP005015	0	8301873	8324177
AGAP005017	0	8324708	8327190
AGAP005018	0	8327297	8328653
AGAP005019	0	8328944	8329672
AGAP005020	0	8329676	8344698
AGAP005021	0	8334586	8337858
AGAP005022	0	8371013	8372559
AGAP005023	0	8375887	8376198
AGAP005024	0	8379978	8380388
AGAP005025	0	8460463	8460873
AGAP005026	0	8464364	8464675
AGAP005027	0	8468031	8469514
AGAP005028	0	8532255	8540016
AGAP005029	0	8569090	8581151
AGAP005030	0	8588003	8599170
AGAP005031	0	8613164	8620262
AGAP005032	0	8623634	8627796
AGAP005033	0	8628215	8638510
AGAP005034	0	8644043	8648237
AGAP005035	0	8651922	8659157
AGAP005036	0	8660197	8661621
AGAP005037	0	8668402	8700721
AGAP005038	0	8689349	8695897
AGAP005039	0	8704441	8707908
AGAP005040	0	8710708	8712165
AGAP005041	0	8718540	8723650
AGAP005042	0	8751403	8758975
AGAP005043	0	8770771	8776180
AGAP005044	0	8787248	8791505
AGAP005045	0	8788345	8789880
AGAP005046	0	8792215	8793286
AGAP005047	0	8795158	8796890
AGAP005048	0	8818559	8821078
AGAP005049	0	8821111	8821771
AGAP005050	0	8822786	8823934
AGAP005051	0	8823859	8824648
AGAP005052	0	8824899	8827163
AGAP005053	0	8829746	8833158
AGAP005054	0	8834960	8840482
AGAP005055	0	8880678	8883250
AGAP005056	0	8888002	8889485
AGAP005057	0	8894163	8912235
AGAP005058	0	8990758	9030148
AGAP005059	0	9111282	9113441
AGAP005060	0	9149032	9150830
AGAP005061	0	9150880	9153646
AGAP005062	0	9155189	9159529
AGAP005063	0	9166657	9182097
AGAP005064	0	9184144	9217445
AGAP005065	0	9220270	9221206
AGAP005066	0	9253606	9254543
AGAP005067	0	9282055	9295753
AGAP005068	0	9317506	9325644
AGAP005069	0	9388525	9394345
AGAP005070	0	9483269	9485404
AGAP005071	0	9486328	9493057
AGAP005072	0	9545863	9554248
AGAP005073	0	9564761	9567229
AGAP005074	0	9614343	9616139
AGAP005075	0	9642985	9651954
AGAP005076	0	9657060	9693793
AGAP005077	0	9718408	9719679
AGAP005079	0	9735321	9746596
AGAP005080	0	9757386	9758459
AGAP005081	0	9758828	9759668
AGAP005082	0	9761099	9779657
AGAP005088	0	9875257	9877489
AGAP005091	0	9898848	9941997
AGAP005092	0	9909441	9910601
AGAP005093	0	9950809	9957070
AGAP005094	0	9959749	9960811
AGAP005095	0	9969229	9971786
AGAP005096	0	9978240	10024330
AGAP005098	0	10059627	10059806
AGAP005099	0	10087962	10113493
AGAP005100	0	10116617	10117747
AGAP005101	0	10117831	10125074
AGAP005102	0	10126240	10127958
AGAP005103	0	10139697	10142653
AGAP005104	0	10146126	10147355
AGAP005105	0	10149521	10150786
AGAP005106	0	10154540	10167856
AGAP005107	0	10184952	10185475
AGAP005108	0	10198419	10202718
AGAP005109	0	10202690	10203577
AGAP005110	0	10203864	10206481
AGAP006579	0	34238562	34255318
AGAP005113	0	10229604	10232219
AGAP005114	0	10232796	10234005
AGAP005115	0	10234695	10238376
AGAP005116	0	10239044	10240388
AGAP005117	0	10241196	10244380
AGAP005118	0	10244435	10245368
AGAP005119	0	10245507	10248507
AGAP005120	0	10249595	10251059
AGAP005121	0	10251723	10252977
AGAP005122	0	10253637	10255149
AGAP005123	0	10256621	10257383
AGAP005124	0	10257652	10269142
AGAP005125	0	10285491	10288399
AGAP005126	0	10309342	10310617
AGAP005127	0	10331961	10336460
AGAP005128	0	10336780	10338354
AGAP005129	0	10338714	10339920
AGAP005130	0	10340218	10342062
AGAP005131	0	10342081	10343123
AGAP005132	0	10343504	10345513
AGAP005133	0	10347397	10353265
AGAP005134	0	10355282	10358610
AGAP005135	0	10362528	10369557
AGAP005136	0	10370242	10370878
AGAP005137	0	10381740	10384703
AGAP005138	0	10441032	10449388
AGAP005139	0	10464003	10466664
AGAP005141	0	10468015	10469971
AGAP005142	0	10472272	10475218
AGAP005143	0	10477353	10495460
AGAP005144	0	10488114	10489563
AGAP005145	0	10539087	10543428
AGAP005146	0	10544803	10550163
AGAP005147	0	10565556	10575499
AGAP005148	0	10575676	10577666
AGAP005149	0	10577656	10578050
AGAP005150	0	10581996	10582406
AGAP005152	0	10589243	10590426
AGAP005153	0	10600456	10604252
AGAP005155	0	10640058	10644626
AGAP005156	0	10651450	10734138
AGAP005158	0	10768635	10770047
AGAP005159	0	10773905	10775953
AGAP005160	0	10785074	10811531
AGAP005161	0	10811841	10816977
AGAP005162	0	10820811	10847221
AGAP005163	0	10907702	10909701
AGAP005164	0	11054076	11119385
AGAP005165	0	11131877	11241906
AGAP005166	0	11186428	11190856
AGAP005167	0	11192031	11193411
AGAP005168	0	11195971	11200471
AGAP005169	0	11274226	11275949
AGAP005170	0	11284393	11334901
AGAP005171	0	11337707	11346317
AGAP005172	0	11340609	11341921
AGAP005173	0	11368159	11374909
AGAP005174	0	11376450	11378030
AGAP005175	0	11378371	11405181
AGAP005176	0	11407606	11409098
AGAP005177	0	11409421	11410687
AGAP005178	0	11410730	11414253
AGAP005179	0	11414718	11415633
AGAP005180	0	11415914	11416886
AGAP005181	0	11479150	11496824
AGAP005182	0	11685185	11686024
AGAP005183	0	11847212	11849149
AGAP005185	0	12045946	12048186
AGAP005186	0	12119908	12122116
AGAP005187	0	12123831	12135054
AGAP005188	0	12140996	12147331
AGAP005189	0	12149345	12152250
AGAP005190	0	12150414	12151432
AGAP005191	0	12152364	12155553
AGAP005192	0	12157623	12159427
AGAP005193	0	12161061	12167511
AGAP005194	0	12168087	12169243
AGAP005195	0	12171394	12172468
AGAP005196	0	12176816	12178137
AGAP005197	0	12185669	12186929
AGAP005198	0	12189849	12191436
AGAP005199	0	12191346	12197260
AGAP005200	0	12195022	12196958
AGAP005201	0	12197649	12198565
AGAP005202	0	12198718	12199834
AGAP005203	0	12199616	12208633
AGAP013364	0	33926156	33929995
AGAP007691	0	49082772	49088307
AGAP005206	0	12222491	12223348
AGAP005207	0	12246061	12316072
AGAP005208	0	12288238	12289440
AGAP005209	0	12353162	12356183
AGAP005210	0	12357077	12358920
AGAP005211	0	12358996	12360867
AGAP005212	0	12361038	12363355
AGAP005213	0	12366733	12399301
AGAP005214	0	12377485	12378549
AGAP005215	0	12409311	12410723
AGAP005216	0	12409610	12418274
AGAP005217	0	12418732	12421223
AGAP005218	0	12430445	12431915
AGAP005219	0	12460529	12493379
AGAP005220	0	12498643	12499796
AGAP005221	0	12501101	12503861
AGAP005222	0	12504545	12515179
AGAP005223	0	12522290	12527089
AGAP005225	0	12527952	12529541
AGAP005226	0	12529898	12531142
AGAP005227	0	12535623	12538161
AGAP007611	0	48248229	48263000
AGAP005229	0	12548780	12558471
AGAP005230	0	12596948	12598564
AGAP005231	0	12614542	12615240
AGAP005233	0	12651084	12652962
AGAP005234	0	12656739	12660717
AGAP005235	0	12666575	12685002
AGAP005236	0	12692890	12697320
AGAP005237	0	12697521	12704057
AGAP005238	0	12704418	12707969
AGAP005239	0	12708085	12709261
AGAP005240	0	12710806	12712852
AGAP005241	0	12714148	12715791
AGAP005242	0	12721454	12727400
AGAP005243	0	12732251	12764561
AGAP005244	0	12782149	12840793
AGAP005245	0	12875392	12980092
AGAP007237	0	44471352	44503960
AGAP013248	0	29525422	29530487
AGAP005247	0	13062866	13068104
AGAP005248	0	13100886	13118081
AGAP005249	0	13125288	13128644
AGAP005250	0	13129636	13132652
AGAP005251	0	13163228	13194429
AGAP005252	0	13194968	13196613
AGAP005253	0	13206074	13208242
AGAP005254	0	13228800	13231689
AGAP005255	0	13244005	13250634
AGAP005256	0	13245724	13246982
AGAP005257	0	13267022	13319286
AGAP005258	0	13325896	13331897
AGAP005259	0	13342958	13347070
AGAP005260	0	13356664	13357444
AGAP005261	0	13357762	13362271
AGAP005262	0	13365840	13368086
AGAP005263	0	13380597	13386291
AGAP005264	0	13392453	13393202
AGAP005265	0	13395236	13401548
AGAP005266	0	13420356	13421105
AGAP005267	0	13494051	13495408
AGAP005268	0	13494790	13495156
AGAP005269	0	13495891	13500324
AGAP005270	0	13502754	13504208
AGAP005271	0	13504366	13505670
AGAP005272	0	13506637	13508183
AGAP005273	0	13513694	13520289
AGAP005275	0	13532519	13542252
AGAP005111	0	10207803	10228414
AGAP005277	0	13554366	13556618
AGAP007596	0	48103809	48119441
AGAP005280	0	13576741	13579032
AGAP005281	0	13589239	13600295
AGAP005282	0	13620351	13622456
AGAP005283	0	13624375	13626179
AGAP005288	0	13688408	13709424
AGAP005287	0	13667398	13672489
AGAP005466	0	15949821	15952169
AGAP005289	0	13719396	13720030
AGAP005290	0	13721263	13730958
AGAP005291	0	13737172	13746833
AGAP005292	0	13765648	13780618
AGAP005293	0	13791811	13796657
AGAP005294	0	13798321	13801103
AGAP005295	0	13801354	13802660
AGAP005296	0	13802954	13804177
AGAP005297	0	13805536	13807199
AGAP005298	0	13807715	13808828
AGAP005299	0	13809195	13811906
AGAP005300	0	13816597	13858982
AGAP005301	0	13863145	13870895
AGAP005302	0	13875283	13877433
AGAP005303	0	13880180	13881374
AGAP005304	0	13882406	13883974
AGAP005305	0	13900618	13906104
AGAP005306	0	13918675	13919901
AGAP005307	0	13947985	13949275
AGAP005308	0	13950609	13952365
AGAP005309	0	13956306	13957610
AGAP005310	0	13967698	13968811
AGAP005311	0	13969182	13983058
AGAP005312	0	14012647	14013361
AGAP005313	0	14016320	14018139
AGAP005314	0	14018273	14019013
AGAP005315	0	14019425	14019893
AGAP005316	0	14020375	14022148
AGAP005317	0	14022986	14025209
AGAP005318	0	14025685	14027329
AGAP005319	0	14029963	14031822
AGAP005320	0	14033559	14035128
AGAP005321	0	14035639	14038119
AGAP005322	0	14042147	14044920
AGAP005323	0	14057406	14073092
AGAP005324	0	14075295	14100657
AGAP005325	0	14101665	14108886
AGAP005326	0	14109749	14112539
AGAP005327	0	14114567	14115657
AGAP005328	0	14118770	14130789
AGAP005329	0	14148514	14165291
AGAP005330	0	14179809	14186780
AGAP005331	0	14187268	14189251
AGAP005332	0	14192506	14231241
AGAP005333	0	14212051	14217941
AGAP005334	0	14232533	14233424
AGAP005335	0	14233403	14234307
AGAP005336	0	14237025	14239080
AGAP005337	0	14251322	14252743
AGAP005338	0	14255152	14255907
AGAP005339	0	14257864	14259365
AGAP005340	0	14264824	14265747
AGAP005341	0	14269657	14288258
AGAP005342	0	14288478	14291180
AGAP005343	0	14291664	14295485
AGAP005344	0	14295648	14296771
AGAP005345	0	14340826	14343510
AGAP005346	0	14370198	14374526
AGAP005347	0	14378329	14380161
AGAP005348	0	14381212	14382682
AGAP005349	0	14409906	14412239
AGAP005350	0	14436243	14439840
AGAP005351	0	14446023	14450861
AGAP005352	0	14470082	14472572
AGAP005353	0	14480406	14481200
AGAP005354	0	14531112	14532253
AGAP005355	0	14539242	14543882
AGAP005356	0	14600379	14607016
AGAP005359	0	14637577	14642519
AGAP005360	0	14645741	14647433
AGAP005361	0	14647712	14649059
AGAP005362	0	14649450	14652355
AGAP005363	0	14652883	14653803
AGAP005364	0	14654367	14658275
AGAP005365	0	14658769	14660171
AGAP005366	0	14660703	14666613
AGAP005368	0	14670146	14678652
AGAP005369	0	14698778	14706996
AGAP005370	0	14709900	14711640
AGAP005371	0	14711919	14713741
AGAP005372	0	14714193	14716037
AGAP005373	0	14716580	14718519
AGAP005374	0	14718904	14724339
AGAP005375	0	14724450	14726177
AGAP005376	0	14726207	14728132
AGAP005377	0	14728293	14728858
AGAP005378	0	14738117	14809846
AGAP005379	0	14829847	14830528
AGAP005380	0	14831049	14832574
AGAP005381	0	14832803	14835786
AGAP005382	0	14836158	14837553
AGAP005383	0	14838156	14839312
AGAP005384	0	14840357	14841421
AGAP005385	0	14842244	14843478
AGAP005386	0	14844155	14845189
AGAP005387	0	14847109	14848144
AGAP005388	0	14848961	14850181
AGAP005389	0	14852353	14853409
AGAP005390	0	14856841	14858937
AGAP005391	0	14897966	14902000
AGAP005392	0	14903720	14905010
AGAP005393	0	14905569	14909679
AGAP005394	0	14913182	14918431
AGAP005396	0	14974487	14977568
AGAP005397	0	14986775	14988637
AGAP005398	0	15016928	15020798
AGAP005399	0	15035025	15038781
AGAP005400	0	15054808	15075117
AGAP005401	0	15080231	15083982
AGAP005402	0	15084467	15085590
AGAP005404	0	15147019	15150154
AGAP005405	0	15159566	15177852
AGAP005406	0	15181644	15184076
AGAP005407	0	15185028	15186612
AGAP005408	0	15189217	15208857
AGAP005409	0	15210223	15211038
AGAP005410	0	15211390	15213382
AGAP005412	0	15334739	15336948
AGAP005413	0	15337110	15338402
AGAP005414	0	15338664	15340635
AGAP005415	0	15341217	15343454
AGAP005416	0	15346900	15347753
AGAP005417	0	15358097	15360794
AGAP005418	0	15361091	15362969
AGAP005419	0	15363274	15365288
AGAP005420	0	15365542	15369063
AGAP005421	0	15373100	15374728
AGAP005422	0	15374680	15375352
AGAP005423	0	15375471	15376556
AGAP005424	0	15376817	15377709
AGAP005425	0	15383184	15391050
AGAP005427	0	15420858	15422462
AGAP005428	0	15423128	15423703
AGAP005429	0	15423894	15425229
AGAP005430	0	15425105	15426179
AGAP005431	0	15426523	15428376
AGAP005432	0	15428668	15429457
AGAP005433	0	15452768	15457034
AGAP005434	0	15452920	15454742
AGAP005435	0	15466771	15467829
AGAP005437	0	15468462	15469285
AGAP005438	0	15469592	15472976
AGAP005440	0	15477391	15481944
AGAP005444	0	15539485	15541344
AGAP005445	0	15541967	15546680
AGAP005446	0	15547381	15548424
AGAP005447	0	15548569	15549808
AGAP005448	0	15551188	15555494
AGAP005449	0	15558866	15633473
AGAP005450	0	15641020	15642923
AGAP005451	0	15722094	15723168
AGAP005453	0	15724263	15724703
AGAP005454	0	15728012	15728452
AGAP005455	0	15740601	15741127
AGAP005456	0	15758476	15760047
AGAP005457	0	15767703	15769403
AGAP005458	0	15771785	15773485
AGAP005459	0	15797627	15801993
AGAP005460	0	15808176	15809859
AGAP005461	0	15810013	15810956
AGAP005462	0	15814662	15816029
AGAP005463	0	15817308	15820328
AGAP005464	0	15840234	15854251
AGAP005465	0	15913994	15948667
AGAP005878	0	23058812	23061695
AGAP005467	0	15963587	15980283
AGAP005468	0	15982108	15986356
AGAP005469	0	15994433	15994912
AGAP005470	0	16007846	16014206
AGAP005471	0	16024036	16057306
AGAP005472	0	16041729	16067199
AGAP005473	0	16068087	16069792
AGAP005474	0	16070116	16071133
AGAP005475	0	16071490	16072584
AGAP005476	0	16073528	16074438
AGAP005477	0	16074785	16075897
AGAP005478	0	16077354	16078327
AGAP005479	0	16078708	16080239
AGAP005480	0	16080494	16082326
AGAP005481	0	16082584	16084163
AGAP005482	0	16084710	16085888
AGAP005483	0	16086488	16088224
AGAP005484	0	16121483	16130916
AGAP005485	0	16126998	16128318
AGAP005486	0	16132000	16133180
AGAP005487	0	16148826	16154828
AGAP005488	0	16159262	16160657
AGAP005489	0	16170965	16174219
AGAP005490	0	16181856	16198471
AGAP005491	0	16194877	16195488
AGAP005492	0	16200636	16202378
AGAP005493	0	16202561	16203238
AGAP005494	0	16203463	16205530
AGAP005495	0	16208398	16210303
AGAP005496	0	16215221	16217360
AGAP005497	0	16226322	16227236
AGAP005499	0	16238832	16239769
AGAP005500	0	16242561	16243371
AGAP005501	0	16245020	16246930
AGAP005502	0	16247181	16249286
AGAP005503	0	16249592	16250425
AGAP005504	0	16259340	16281009
AGAP005505	0	16288405	16290707
AGAP005506	0	16333403	16343670
AGAP005507	0	16359842	16382143
AGAP005508	0	16389028	16444137
AGAP005509	0	16467657	16485321
AGAP005510	0	16489972	16537364
AGAP005511	0	16511399	16512629
AGAP005512	0	16517508	16518862
AGAP005513	0	16523133	16535141
AGAP005514	0	16537983	16539929
AGAP005515	0	16540374	16544817
AGAP005516	0	16554936	16558482
AGAP005518	0	16560651	16585936
AGAP005519	0	16587327	16589130
AGAP005520	0	16590603	16598032
AGAP005521	0	16604150	16605748
AGAP005522	0	16608769	16609635
AGAP005523	0	16609746	16610893
AGAP005524	0	16611929	16613808
AGAP005525	0	16614051	16648658
AGAP005526	0	16617187	16634182
AGAP005527	0	16639642	16647151
AGAP005528	0	16649975	16651754
AGAP005529	0	16652976	16656903
AGAP005530	0	16659015	16662939
AGAP005531	0	16664221	16667464
AGAP005532	0	16667876	16669304
AGAP005533	0	16670854	16684143
AGAP005534	0	16691245	16692514
AGAP005535	0	16692761	16694754
AGAP005536	0	16799714	16839731
AGAP005537	0	16847687	16852359
AGAP005538	0	16849765	16851074
AGAP005539	0	16853514	16854540
AGAP005540	0	16854743	16859083
AGAP005541	0	16860344	16868999
AGAP005542	0	16872047	16873740
AGAP005543	0	16875156	16877327
